# CREATED_DATE: 2020-01-12T19:42:56.601Z
# MODIFIED_DATE: 2022-07-23T07:04:50.654Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ124243.88+024327.9; (12:42:43.89, +02:43:27.98)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020ue
# RA: 190.6949078274054
# DEC: 2.6595073717721083
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-01-19T00:00:00Z
# REDSHIFT: 0.003
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-01-20T05:54:14Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.025
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_target.jpeg
# POSTAGE_STAMP_REF: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_ref.jpeg
# POSTAGE_STAMP_DIFF: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_target.fits
# POSTAGE_STAMP_REF_FITS: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.83
# ALT_STATUS: CONFIRMED
# SLUG: 2020ue
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [10, 22, 29, 32, 47, 77]
# END: 
NVAR: 10 PHOTOMETRY
VARNAMES: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR MAGSYS TELESCOPE INSTRUMENT DQ
OBS: 58872.317 sso1m::rp 1224223.703 6595.801 12.280 0.006 None Siding_Spring_1m Sinistro None
OBS: 58872.318 sso1m::ip 756460.615 3858.924 12.803 0.006 None Siding_Spring_1m Sinistro None
OBS: 58872.985 sso1m::up 1054306.191 20170.146 12.443 0.021 None Siding_Spring_1m Sinistro None
OBS: 58872.987 sso1m::gp 1490961.104 10009.627 12.066 0.007 None Siding_Spring_1m Sinistro None
OBS: 58872.988 sso1m::rp 1300150.576 7681.668 12.215 0.006 None Siding_Spring_1m Sinistro None
OBS: 58872.989 sso1m::ip 746117.249 4324.826 12.818 0.006 None Siding_Spring_1m Sinistro None
OBS: 58873.004 sso1m::up 1051278.627 18561.544 12.446 0.019 None Siding_Spring_1m Sinistro None
OBS: 58873.006 sso1m::gp 1572633.067 10364.324 12.009 0.007 None Siding_Spring_1m Sinistro None
OBS: 58873.007 sso1m::rp 1296171.273 7555.607 12.218 0.006 None Siding_Spring_1m Sinistro None
OBS: 58873.008 sso1m::ip 735977.376 4314.901 12.832 0.006 None Siding_Spring_1m Sinistro None
OBS: 58873.061 sso1m::B 1572206.028 18283.578 12.009 0.013 None Siding_Spring_1m Sinistro None
OBS: 58873.062 sso1m::V 1480539.556 14839.902 12.074 0.011 None Siding_Spring_1m Sinistro None
OBS: 58873.063 sso1m::gp 1583237.988 14528.032 12.002 0.010 None Siding_Spring_1m Sinistro None
OBS: 58873.064 sso1m::rp 1349553.888 11170.864 12.174 0.009 None Siding_Spring_1m Sinistro None
OBS: 58873.066 sso1m::ip 772429.132 6316.066 12.781 0.009 None Siding_Spring_1m Sinistro None
OBS: 58873.080 sso1m::V 1448970.508 8114.470 12.097 0.006 None Siding_Spring_1m Sinistro None
OBS: 58873.082 Unknown 1492079.594 8537.541 12.066 0.006 None Siding_Spring_1m Sinistro None
OBS: 58874.316 sso1m::up 976439.096 27233.242 12.525 0.030 None Siding_Spring_1m Sinistro None
OBS: 58874.317 sso1m::gp 1468711.845 11249.747 12.083 0.008 None Siding_Spring_1m Sinistro None
OBS: 58874.319 sso1m::rp 1288640.689 7797.737 12.224 0.007 None Siding_Spring_1m Sinistro None
OBS: 58874.320 sso1m::ip 709653.737 4475.133 12.872 0.007 None Siding_Spring_1m Sinistro None
OBS: 58875.249 sso1m::up 61404.462 61404.462 15.530 1.086 None Siding_Spring_1m Sinistro Bad
OBS: 58875.251 sso1m::gp 1446542.571 9766.839 12.099 0.007 None Siding_Spring_1m Sinistro None
OBS: 58875.252 sso1m::rp 1250496.153 8341.651 12.257 0.007 None Siding_Spring_1m Sinistro None
OBS: 58875.253 sso1m::ip 741955.689 4795.114 12.824 0.007 None Siding_Spring_1m Sinistro None
OBS: 58875.504 sso1m::up 839050.340 16106.512 12.690 0.021 None Siding_Spring_1m Sinistro None
OBS: 58875.505 sso1m::gp 1430642.610 8924.016 12.111 0.007 None Siding_Spring_1m Sinistro None
OBS: 58875.506 sso1m::rp 1305421.289 7189.659 12.211 0.006 None Siding_Spring_1m Sinistro None
OBS: 58875.508 sso1m::ip 711585.115 3819.635 12.869 0.006 None Siding_Spring_1m Sinistro None
OBS: 58875.977 sso1m::up 829384.371 13239.415 12.703 0.017 None Siding_Spring_1m Sinistro None
OBS: 58875.978 sso1m::gp 1470214.547 8852.313 12.081 0.007 None Siding_Spring_1m Sinistro None
OBS: 58875.980 sso1m::rp 1304370.602 7034.712 12.212 0.006 None Siding_Spring_1m Sinistro None
OBS: 58875.981 sso1m::ip 700652.710 3942.225 12.887 0.006 None Siding_Spring_1m Sinistro None
OBS: 58876.059 sso1m::B 1439549.329 14865.631 12.104 0.011 None Siding_Spring_1m Sinistro None
OBS: 58876.060 sso1m::V 1509591.122 13643.217 12.053 0.010 None Siding_Spring_1m Sinistro None
OBS: 58876.061 sso1m::gp 1494362.122 12552.062 12.064 0.009 None Siding_Spring_1m Sinistro None
OBS: 58876.062 sso1m::rp 1347396.479 11050.215 12.176 0.009 None Siding_Spring_1m Sinistro None
OBS: 58876.063 sso1m::ip 757694.609 6880.231 12.802 0.010 None Siding_Spring_1m Sinistro None
OBS: 58876.337 sso1m::up 772040.198 14088.936 12.781 0.020 None Siding_Spring_1m Sinistro None
OBS: 58876.338 sso1m::gp 1385615.086 9256.886 12.146 0.007 None Siding_Spring_1m Sinistro None
OBS: 58876.340 sso1m::rp 1349795.828 8569.715 12.174 0.007 None Siding_Spring_1m Sinistro None
OBS: 58876.341 sso1m::ip 706729.988 4149.213 12.877 0.006 None Siding_Spring_1m Sinistro None
OBS: 58876.754 sso1m::up 723777.235 13392.675 12.851 0.020 None Siding_Spring_1m Sinistro None
OBS: 58876.755 sso1m::gp 1359122.146 8763.920 12.167 0.007 None Siding_Spring_1m Sinistro None
OBS: 58876.757 sso1m::rp 1244965.385 6973.139 12.262 0.006 None Siding_Spring_1m Sinistro None
OBS: 58876.758 sso1m::ip 670998.237 3809.512 12.933 0.006 None Siding_Spring_1m Sinistro None
OBS: 58877.104 sso1m::B 1300194.234 13939.450 12.215 0.012 None Siding_Spring_1m Sinistro None
OBS: 58877.105 sso1m::V 1416042.158 13476.336 12.123 0.010 None Siding_Spring_1m Sinistro None
OBS: 58877.106 sso1m::gp 1432699.983 12392.170 12.110 0.009 None Siding_Spring_1m Sinistro None
OBS: 58877.108 sso1m::rp 1251559.964 10135.141 12.256 0.009 None Siding_Spring_1m Sinistro None
OBS: 58877.108 sso1m::ip 673654.371 5295.267 12.929 0.009 None Siding_Spring_1m Sinistro None
OBS: 58877.227 sso1m::gp 1223507.261 20827.269 12.281 0.018 None Siding_Spring_1m Sinistro None
OBS: 58877.228 sso1m::rp 1165694.090 11494.245 12.333 0.011 None Siding_Spring_1m Sinistro None
OBS: 58877.229 sso1m::ip 639963.852 5234.666 12.985 0.009 None Siding_Spring_1m Sinistro None
OBS: 58877.972 sso1m::up 678886.051 13979.143 12.920 0.022 None Siding_Spring_1m Sinistro None
OBS: 58877.973 sso1m::gp 1313983.555 10083.809 12.204 0.008 None Siding_Spring_1m Sinistro None
